Country,Paidwork,Education,Household,Housework,Shopping,Unpaid,Sleep,Food,Personalcare,Sports,Events,Friends,TVRadio,Other
Australia,211,27,45,132,29,58,512,89,56,19,6,40,140,76
Austria,280,27,34,125,21,32,498,79,55,32,9,82,109,59
Belgium,194,41,22,121,29,30,513,99,53,21,15,50,131,122
Canada,269,36,29,115,24,52,520,65,52,21,6,53,109,89
China,315,25,23,103,20,33,542,100,52,23,2,23,127,53
Denmark,200,25,28,128,26,45,489,119,52,22,7,81,123,95
Estonia,231,25,28,121,24,40,530,79,54,27,8,38,122,114
Finland,200,29,23,109,26,81,508,81,52,37,8,55,118,113
France,170,34,22,129,22,17,513,133,107,12,15,55,114,98
Germany,224,24,19,109,32,53,498,95,55,26,14,61,118,112
Greece,187,40,19,125,16,26,500,128,57,28,5,56,137,115
Hungary,199,38,33,150,19,36,506,101,76,13,6,35,134,94
India,272,23,21,148,12,22,528,84,75,5,5,73,61,109
Ireland,231,37,61,91,28,72,491,75,42,20,42,49,85,116
Italy,149,28,27,135,28,43,513,127,68,38,6,65,104,110
Japan,326,37,0,80,25,98,442,93,85,10,0,17,103,148
Korea,288,57,28,76,13,42,471,117,90,27,4,42,102,82
Latvia,317,13,15,130,16,39,512,89,40,25,5,35,123,81
Lithuania,304,12,19,154,17,42,503,88,54,16,1,32,137,61
Luxembourg,247,37,20,108,23,42,518,112,55,33,12,32,116,82
Mexico,302,45,38,187,14,46,499,77,58,14,7,44,66,41
Netherlands,218,25,22,105,28,46,503,114,65,22,7,73,113,101
New Zealand,241,29,30,110,24,59,526,80,42,17,6,69,124,85
Norway ,201,40,23,83,20,77,492,79,56,21,8,57,129,154
Poland,229,30,38,135,25,39,509,91,57,23,3,45,122,93
Portugal,259,36,17,161,15,35,506,112,58,12,11,44,114,60
Slovenia,227,38,21,166,18,32,501,86,41,32,5,62,120,92
South Africa,189,39,18,130,9,41,553,72,70,5,5,82,132,82
Spain,176,26,35,116,25,54,516,126,51,42,9,51,129,85
Sweden,262,31,33,107,23,33,483,83,57,34,9,53,113,112
Turkey,217,29,29,124,14,60,515,118,50,9,3,68,124,82
UK,235,27,32,104,29,62,508,79,58,19,7,47,133,98
USA,251,31,31,100,22,65,528,63,57,18,8,44,148,73